,leadtime,rmse_ctrl,mse_ensmean_svd,mse_ensmean_rand,mse_ensmean_netens,spread_svd,spread_rand,spread_netens,corr_svd,corr_rand,corr_netens,n_ens,pert_scale
0,0,0.0,0.00042871299,8.276652013019509e-13,0.0,14.779794,337.26904690469297,0.0,0.0,0.0,0.0,100,0.1
1,6,112.91016,114.58526,209.1991979650867,107.55041128822116,47.549026,163.37528729508549,45.956755718925244,0.3801127279077395,0.6382299534702169,0.6410786071251804,100,0.1
2,12,192.71977,192.6559,260.76484786483996,178.35434296714362,93.18019,181.08236141210259,79.44384110948246,0.41265903365697826,0.5464179040410004,0.6419859939894406,100,0.1
3,18,269.0638,262.1446,323.2907914433104,244.8009720030318,145.04991,214.74052998148005,117.12645267373689,0.4609218863605804,0.6106075702573341,0.6656834901024725,100,0.1
4,24,354.60367,338.1323,385.3115941672273,315.32815063902837,185.89781,253.87714835873624,160.31993048796986,0.5194223939473753,0.6288560030748969,0.6484822106084789,100,0.1
5,30,437.2044,409.73706,451.2636917435899,382.2623269308131,215.95187,292.35456267926975,204.89756379206145,0.5538501375597594,0.6397762645515835,0.6438384281884133,100,0.1
6,36,519.9505,486.4939,520.3616345958814,449.007980670793,241.4008,329.5148044458722,249.95575616643788,0.5737959124193843,0.6165324730644455,0.6594373278784894,100,0.1
7,42,591.3535,551.6548,581.4367829499168,506.6182597844262,267.4368,368.2661076589529,295.64981302972444,0.5938619281666104,0.5972605387391251,0.6730627307390683,100,0.1
8,48,664.89844,619.4866,641.2181363546664,563.4267244243337,296.86676,412.35050271714385,342.4151163034909,0.6034362598331287,0.5696594869329584,0.6854847990828474,100,0.1
9,54,735.2747,681.98505,699.1288327517179,615.5361375802652,332.14365,465.10319500899556,391.4914452764777,0.6023675246652412,0.5656236262682743,0.6846750388188366,100,0.1
10,60,812.6194,749.77515,760.3998542048739,668.9629932761545,375.2755,527.4420765871968,443.5248166614446,0.5852679069157096,0.5519889743269628,0.667713573956884,100,0.1
11,66,885.0038,806.3823,814.1152508712154,714.9264292539077,427.39267,597.7831390242225,498.5758038161037,0.5836310791779972,0.575826079203714,0.6523907446342411,100,0.1
12,72,962.4838,862.8697,865.2376048586713,759.304056121301,488.6659,673.3623422216127,555.9067072312174,0.5791788650110808,0.5910736322043232,0.6295527588219683,100,0.1
13,78,1044.1428,916.5982,917.6372646362155,800.5429927590612,557.4399,751.7786790902697,615.5700634791158,0.5835189509795391,0.6274201275739882,0.619166998288864,100,0.1
14,84,1136.2546,975.9819,974.3967277452412,844.1987153121494,631.2074,830.1665222300539,678.4249389668279,0.576446560727404,0.6423718269646831,0.6022034487393132,100,0.1
15,90,1225.8121,1029.0264,1028.4792904217597,882.8467210724691,706.76074,906.4515692998859,743.6902320364819,0.5749556315801285,0.6677751448567673,0.5854437218036673,100,0.1
16,96,1316.3401,1079.526,1077.1668192889786,919.4704820279999,781.3604,978.9909430270158,811.0962410139539,0.5615089666684403,0.6735965937997273,0.5540613286225737,100,0.1
17,102,1405.1111,1129.3693,1127.951401121525,953.766545739795,853.30005,1046.7477175819804,880.4001279883901,0.5535885197893571,0.6879146256275878,0.5275299365474508,100,0.1
18,108,1491.6039,1181.0758,1179.3703206455964,989.3678259519821,921.8384,1109.5796022671009,950.6070538912583,0.536312597657945,0.684483870259069,0.4930025898049987,100,0.1
19,114,1570.51,1225.8512,1227.0034227535944,1020.7714850598531,986.51874,1167.3136961209336,1020.9258577188591,0.5284308603452308,0.6891416467846728,0.468503638128404,100,0.1
