,leadtime,rmse_ctrl,mse_ensmean_svd,mse_ensmean_rand,mse_ensmean_netens,spread_svd,spread_rand,spread_netens,corr_svd,corr_rand,corr_netens,n_ens,pert_scale
0,0,0.0,0.00020410557,6.989101073735367e-13,0.0,445.50745,10118.07140714079,0.0,0.0,0.0,0.0,20,3
1,6,112.91016,209.9479,1828.927140576461,107.55041128822116,192.53922,1034.141125570596,45.956755718925244,0.7532577838837534,-0.019345339043070866,0.6410786071251804,20,3
2,12,192.71977,257.69946,1928.0357441132965,178.35434296714362,202.31335,1063.7871323796546,79.44384110948246,0.6888864017239089,-0.2553274098039068,0.6419859939894406,20,3
3,18,269.0638,323.45526,2100.0595524810583,244.8009720030318,230.2706,1184.4164292564344,117.12645267373689,0.6537023797541643,-0.29799118561824467,0.6656834901024725,20,3
4,24,354.60367,389.3156,2259.4301926491435,315.32815063902837,269.30148,1309.3955903329868,160.31993048796986,0.5663895190692765,-0.28908990589491756,0.6484822106084789,20,3
5,30,437.2044,457.67325,2412.3617721144624,382.2623269308131,312.52737,1405.4643931698588,204.89756379206145,0.5016603008861035,-0.26571776922863294,0.6438384281884133,20,3
6,36,519.9505,529.4123,2524.5482319579664,449.007980670793,357.43677,1468.387147899253,249.95575616643788,0.43767335042644895,-0.23963464758073122,0.6594373278784894,20,3
7,42,591.3535,594.8166,2624.246147033541,506.6182597844262,402.96594,1508.8916613855674,295.64981302972444,0.44878242652790906,-0.2108134465734034,0.6730627307390683,20,3
8,48,664.89844,658.56866,2685.011568940505,563.4267244243337,449.16595,1535.7255784617244,342.4151163034909,0.45056526939122166,-0.17352028121711593,0.6854847990828474,20,3
9,54,735.2747,721.80786,2747.2350164369245,615.5361375802652,498.19067,1554.4378132589468,391.4914452764777,0.4877917875008547,-0.13935817818809895,0.6846750388188366,20,3
10,60,812.6194,786.5747,2792.099854059901,668.9629932761545,550.9251,1568.0878281011935,443.5248166614446,0.49207106857816457,-0.09192109266799428,0.667713573956884,20,3
11,66,885.0038,845.45087,2841.505805695574,714.9264292539077,608.58124,1578.1983119512358,498.5758038161037,0.5260397274850771,-0.051738679903098106,0.6523907446342411,20,3
12,72,962.4838,898.6139,2865.6521599197786,759.304056121301,671.1458,1586.42719048693,555.9067072312174,0.5296201915698943,-0.006700269271367706,0.6295527588219683,20,3
13,78,1044.1428,955.0048,2898.629969675662,800.5429927590612,737.6903,1593.4500398865116,615.5700634791158,0.5526827360083038,0.025597361073710655,0.619166998288864,20,3
14,84,1136.2546,1012.2852,2922.4565504479615,844.1987153121494,806.3441,1599.6760265151074,678.4249389668279,0.5480368427340648,0.058034418485293775,0.6022034487393132,20,3
15,90,1225.8121,1069.0461,2953.391736514358,882.8467210724691,875.07104,1605.2924806237359,743.6902320364819,0.5668099195083877,0.07452705639960726,0.5854437218036673,20,3
16,96,1316.3401,1117.5388,2963.4417332446556,919.4704820279999,942.53235,1610.6601610116184,811.0962410139539,0.5631912603937494,0.09638048657056615,0.5540613286225737,20,3
17,102,1405.1111,1171.1135,2983.631026900477,953.766545739795,1007.6273,1615.6056044122479,880.4001279883901,0.5756789048531771,0.12066935504745961,0.5275299365474508,20,3
18,108,1491.6039,1222.2834,2997.672690246759,989.3678259519821,1069.102,1620.1693633198413,950.6070538912583,0.5709652105665898,0.14048737475964854,0.4930025898049987,20,3
19,114,1570.51,1272.2573,3019.5977796204425,1020.7714850598531,1126.4473,1624.6578804936557,1020.9258577188591,0.5880992313094737,0.16490936385552066,0.468503638128404,20,3
